image,boat_count,detected_image,boat_coordinates,
AXISQ6074EPTZACCC8EACA584_20231005T072001.000Z.jpg,1,View Image,"(1072.0, 46.0)",
AXISQ6074EPTZACCC8EACA584_20231016T043002.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230906T081001.000Z.jpg,1,View Image,"(1073.0, 46.0)",
AXISQ6074EPTZACCC8EACA584_20230913T121001.000Z.jpg,1,View Image,"(1135.0, 48.0)",
AXISQ6074EPTZACCC8EACA584_20231008T052001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231002T045501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230923T081501.000Z.jpg,1,View Image,"(1073.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230909T095001.000Z.jpg,1,View Image,"(1100.0, 49.0)",
AXISQ6074EPTZACCC8EACA584_20230923T091501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231020T122501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231023T034501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230911T115001.000Z.jpg,1,View Image,"(1141.0, 47.0)",
AXISQ6074EPTZACCC8EACA584_20231016T024501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230910T093501.000Z.jpg,2,View Image,"(1252.0, 43.0); (1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231018T115501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230915T041501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230915T060001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231015T065001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231019T114001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230918T041501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230925T053501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231018T083001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231012T033001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230921T075501.000Z.jpg,1,View Image,"(990.0, 51.0)",
AXISQ6074EPTZACCC8EACA584_20231019T043001.000Z.jpg,1,View Image,"(1071.0, 46.0)",
AXISQ6074EPTZACCC8EACA584_20230920T095501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231004T032001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231010T084501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231008T123002.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231013T032501.000Z.jpg,2,View Image,"(531.0, 61.0); (1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231017T130001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231013T123501.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230914T094001.000Z.jpg,1,View Image,"(819.0, 9.0)",
AXISQ6074EPTZACCC8EACA584_20230924T040001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230922T073501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230910T060501.000Z.jpg,6,View Image,"(736.0, 46.0); (1256.0, 43.0); (1067.0, 47.0); (1087.0, 48.0); (737.0, 112.0); (737.0, 87.0)",
AXISQ6074EPTZACCC8EACA584_20231006T074001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20230906T091501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20231020T031501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230922T112001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230922T043501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230904T080001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230910T105001.000Z.jpg,1,View Image,"(1252.0, 43.0)",
AXISQ6074EPTZACCC8EACA584_20230909T103001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230922T103001.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230910T082501.000Z.jpg,0,View Image,,
AXISQ6074EPTZACCC8EACA584_20230907T075001.000Z.jpg,1,View Image,"(1072.0, 45.0)",
AXISQ6074EPTZACCC8EACA584_20231005T113501.000Z.jpg,0,View Image,,
